634 640 480
450 253 -1 1
449 253 -1 1
448 253 -1 1
447 253 -1 1
446 253 -1 1
445 253 -1 1
444 253 -1 1
443 253 -1 1
442 253 -1 1
441 253 -1 1
440 253 -1 1
309 253 -1 1
308 253 -1 1
307 253 -1 1
306 253 -1 1
305 253 -1 1
304 253 -1 1
303 253 -1 1
302 253 -1 1
301 253 -1 1
300 253 -1 1
299 253 -1 1
298 253 -1 1
297 253 -1 1
296 253 -1 1
295 253 -1 1
294 253 -1 1
293 253 -1 1
292 253 -1 1
291 253 -1 1
457 252 -1 1
456 252 -1 1
455 252 -1 1
454 252 -1 1
453 252 -1 1
452 252 -1 1
451 252 -1 1
450 252 -1 1
449 252 -1 1
448 252 -1 1
447 252 -1 1
446 252 -1 1
445 252 -1 1
444 252 -1 1
443 252 -1 1
442 252 -1 1
441 252 -1 1
440 252 -1 1
439 252 -1 1
309 252 -1 1
308 252 -1 1
307 252 -1 1
306 252 -1 1
305 252 -1 1
304 252 -1 1
303 252 -1 1
302 252 -1 1
301 252 -1 1
300 252 -1 1
299 252 -1 1
298 252 -1 1
297 252 -1 1
296 252 -1 1
295 252 -1 1
294 252 -1 1
293 252 -1 1
292 252 -1 1
291 252 -1 1
457 251 -1 1
456 251 -1 1
455 251 -1 1
454 251 -1 1
453 251 -1 1
452 251 -1 1
451 251 -1 1
450 251 -1 1
449 251 -1 1
448 251 -1 1
447 251 -1 1
446 251 -1 1
445 251 -1 1
444 251 -1 1
443 251 -1 1
442 251 -1 1
441 251 -1 1
440 251 -1 1
439 251 -1 1
310 251 -1 1
309 251 -1 1
308 251 -1 1
307 251 -1 1
306 251 -1 1
305 251 -1 1
304 251 -1 1
303 251 -1 1
302 251 -1 1
301 251 -1 1
300 251 -1 1
299 251 -1 1
298 251 -1 1
297 251 -1 1
296 251 -1 1
295 251 -1 1
294 251 -1 1
293 251 -1 1
292 251 -1 1
291 251 -1 1
290 251 -1 1
457 250 -1 1
456 250 -1 1
455 250 -1 1
454 250 -1 1
453 250 -1 1
452 250 -1 1
451 250 -1 1
450 250 -1 1
449 250 -1 1
448 250 -1 1
447 250 -1 1
446 250 -1 1
445 250 -1 1
444 250 -1 1
443 250 -1 1
442 250 -1 1
441 250 -1 1
440 250 -1 1
439 250 -1 1
309 250 -1 1
308 250 -1 1
307 250 -1 1
306 250 -1 1
305 250 -1 1
304 250 -1 1
303 250 -1 1
302 250 -1 1
301 250 -1 1
300 250 -1 1
299 250 -1 1
298 250 -1 1
297 250 -1 1
296 250 -1 1
295 250 -1 1
294 250 -1 1
293 250 -1 1
292 250 -1 1
291 250 -1 1
457 249 -1 1
456 249 -1 1
455 249 -1 1
454 249 -1 1
453 249 -1 1
452 249 -1 1
451 249 -1 1
450 249 -1 1
449 249 -1 1
448 249 -1 1
447 249 -1 1
446 249 -1 1
445 249 -1 1
444 249 -1 1
443 249 -1 1
442 249 -1 1
441 249 -1 1
440 249 -1 1
439 249 -1 1
309 249 -1 1
308 249 -1 1
307 249 -1 1
306 249 -1 1
305 249 -1 1
304 249 -1 1
303 249 -1 1
302 249 -1 1
301 249 -1 1
300 249 -1 1
299 249 -1 1
298 249 -1 1
297 249 -1 1
296 249 -1 1
295 249 -1 1
294 249 -1 1
293 249 -1 1
292 249 -1 1
291 249 -1 1
458 248 -1 1
457 248 -1 1
456 248 -1 1
455 248 -1 1
454 248 -1 1
453 248 -1 1
452 248 -1 1
451 248 -1 1
450 248 -1 1
449 248 -1 1
448 248 -1 1
447 248 -1 1
446 248 -1 1
445 248 -1 1
444 248 -1 1
443 248 -1 1
442 248 -1 1
441 248 -1 1
440 248 -1 1
439 248 -1 1
438 248 -1 1
309 248 -1 1
308 248 -1 1
307 248 -1 1
306 248 -1 1
305 248 -1 1
304 248 -1 1
303 248 -1 1
302 248 -1 1
301 248 -1 1
300 248 -1 1
299 248 -1 1
298 248 -1 1
297 248 -1 1
296 248 -1 1
295 248 -1 1
294 248 -1 1
293 248 -1 1
292 248 -1 1
291 248 -1 1
457 247 -1 1
456 247 -1 1
455 247 -1 1
454 247 -1 1
453 247 -1 1
452 247 -1 1
451 247 -1 1
450 247 -1 1
449 247 -1 1
448 247 -1 1
447 247 -1 1
446 247 -1 1
445 247 -1 1
444 247 -1 1
443 247 -1 1
442 247 -1 1
441 247 -1 1
440 247 -1 1
439 247 -1 1
309 247 -1 1
308 247 -1 1
307 247 -1 1
306 247 -1 1
305 247 -1 1
304 247 -1 1
303 247 -1 1
302 247 -1 1
301 247 -1 1
300 247 -1 1
299 247 -1 1
298 247 -1 1
297 247 -1 1
296 247 -1 1
295 247 -1 1
294 247 -1 1
293 247 -1 1
292 247 -1 1
291 247 -1 1
457 246 -1 1
456 246 -1 1
455 246 -1 1
454 246 -1 1
453 246 -1 1
452 246 -1 1
451 246 -1 1
450 246 -1 1
449 246 -1 1
448 246 -1 1
447 246 -1 1
446 246 -1 1
445 246 -1 1
444 246 -1 1
443 246 -1 1
442 246 -1 1
441 246 -1 1
440 246 -1 1
439 246 -1 1
308 246 -1 1
307 246 -1 1
306 246 -1 1
305 246 -1 1
304 246 -1 1
303 246 -1 1
302 246 -1 1
301 246 -1 1
300 246 -1 1
299 246 -1 1
298 246 -1 1
297 246 -1 1
296 246 -1 1
295 246 -1 1
294 246 -1 1
293 246 -1 1
292 246 -1 1
457 245 -1 1
456 245 -1 1
455 245 -1 1
454 245 -1 1
453 245 -1 1
452 245 -1 1
451 245 -1 1
450 245 -1 1
449 245 -1 1
448 245 -1 1
447 245 -1 1
446 245 -1 1
445 245 -1 1
444 245 -1 1
443 245 -1 1
442 245 -1 1
441 245 -1 1
440 245 -1 1
439 245 -1 1
308 245 -1 1
307 245 -1 1
306 245 -1 1
305 245 -1 1
304 245 -1 1
303 245 -1 1
302 245 -1 1
301 245 -1 1
300 245 -1 1
299 245 -1 1
298 245 -1 1
297 245 -1 1
296 245 -1 1
295 245 -1 1
294 245 -1 1
293 245 -1 1
292 245 -1 1
457 244 -1 1
456 244 -1 1
455 244 -1 1
454 244 -1 1
453 244 -1 1
452 244 -1 1
451 244 -1 1
450 244 -1 1
449 244 -1 1
448 244 -1 1
447 244 -1 1
446 244 -1 1
445 244 -1 1
444 244 -1 1
443 244 -1 1
442 244 -1 1
441 244 -1 1
440 244 -1 1
439 244 -1 1
307 244 -1 1
306 244 -1 1
305 244 -1 1
304 244 -1 1
303 244 -1 1
302 244 -1 1
301 244 -1 1
300 244 -1 1
299 244 -1 1
298 244 -1 1
297 244 -1 1
296 244 -1 1
295 244 -1 1
294 244 -1 1
293 244 -1 1
456 243 -1 1
455 243 -1 1
454 243 -1 1
453 243 -1 1
452 243 -1 1
451 243 -1 1
450 243 -1 1
449 243 -1 1
448 243 -1 1
447 243 -1 1
446 243 -1 1
445 243 -1 1
444 243 -1 1
443 243 -1 1
442 243 -1 1
441 243 -1 1
440 243 -1 1
306 243 -1 1
305 243 -1 1
304 243 -1 1
303 243 -1 1
302 243 -1 1
301 243 -1 1
300 243 -1 1
299 243 -1 1
298 243 -1 1
297 243 -1 1
296 243 -1 1
295 243 -1 1
294 243 -1 1
456 242 -1 1
455 242 -1 1
454 242 -1 1
453 242 -1 1
452 242 -1 1
451 242 -1 1
450 242 -1 1
449 242 -1 1
448 242 -1 1
447 242 -1 1
446 242 -1 1
445 242 -1 1
444 242 -1 1
443 242 -1 1
442 242 -1 1
441 242 -1 1
440 242 -1 1
304 242 -1 1
303 242 -1 1
302 242 -1 1
301 242 -1 1
300 242 -1 1
299 242 -1 1
298 242 -1 1
297 242 -1 1
296 242 -1 1
455 241 -1 1
454 241 -1 1
453 241 -1 1
452 241 -1 1
451 241 -1 1
450 241 -1 1
449 241 -1 1
448 241 -1 1
447 241 -1 1
446 241 -1 1
445 241 -1 1
444 241 -1 1
443 241 -1 1
442 241 -1 1
441 241 -1 1
300 241 -1 1
454 240 -1 1
453 240 -1 1
452 240 -1 1
451 240 -1 1
450 240 -1 1
449 240 -1 1
448 240 -1 1
447 240 -1 1
446 240 -1 1
445 240 -1 1
444 240 -1 1
443 240 -1 1
442 240 -1 1
452 239 -1 1
451 239 -1 1
450 239 -1 1
449 239 -1 1
448 239 -1 1
447 239 -1 1
446 239 -1 1
445 239 -1 1
444 239 -1 1
448 238 -1 1
