634 640 480
429 255 -1 1
428 255 -1 1
427 255 -1 1
426 255 -1 1
425 255 -1 1
424 255 -1 1
423 255 -1 1
422 255 -1 1
421 255 -1 1
420 255 -1 1
419 255 -1 1
418 255 -1 1
417 255 -1 1
435 254 -1 1
434 254 -1 1
433 254 -1 1
432 254 -1 1
431 254 -1 1
430 254 -1 1
429 254 -1 1
428 254 -1 1
427 254 -1 1
426 254 -1 1
425 254 -1 1
424 254 -1 1
423 254 -1 1
422 254 -1 1
421 254 -1 1
420 254 -1 1
419 254 -1 1
418 254 -1 1
417 254 -1 1
435 253 -1 1
434 253 -1 1
433 253 -1 1
432 253 -1 1
431 253 -1 1
430 253 -1 1
429 253 -1 1
428 253 -1 1
427 253 -1 1
426 253 -1 1
425 253 -1 1
424 253 -1 1
423 253 -1 1
422 253 -1 1
421 253 -1 1
420 253 -1 1
419 253 -1 1
418 253 -1 1
417 253 -1 1
279 253 -1 1
434 252 -1 1
433 252 -1 1
432 252 -1 1
431 252 -1 1
430 252 -1 1
429 252 -1 1
428 252 -1 1
427 252 -1 1
426 252 -1 1
425 252 -1 1
424 252 -1 1
423 252 -1 1
422 252 -1 1
421 252 -1 1
420 252 -1 1
419 252 -1 1
418 252 -1 1
283 252 -1 1
282 252 -1 1
281 252 -1 1
280 252 -1 1
279 252 -1 1
278 252 -1 1
277 252 -1 1
276 252 -1 1
275 252 -1 1
434 251 -1 1
433 251 -1 1
432 251 -1 1
431 251 -1 1
430 251 -1 1
429 251 -1 1
428 251 -1 1
427 251 -1 1
426 251 -1 1
425 251 -1 1
424 251 -1 1
423 251 -1 1
422 251 -1 1
421 251 -1 1
420 251 -1 1
419 251 -1 1
418 251 -1 1
285 251 -1 1
284 251 -1 1
283 251 -1 1
282 251 -1 1
281 251 -1 1
280 251 -1 1
279 251 -1 1
278 251 -1 1
277 251 -1 1
276 251 -1 1
275 251 -1 1
274 251 -1 1
273 251 -1 1
433 250 -1 1
432 250 -1 1
431 250 -1 1
430 250 -1 1
429 250 -1 1
428 250 -1 1
427 250 -1 1
426 250 -1 1
425 250 -1 1
424 250 -1 1
423 250 -1 1
422 250 -1 1
421 250 -1 1
420 250 -1 1
419 250 -1 1
286 250 -1 1
285 250 -1 1
284 250 -1 1
283 250 -1 1
282 250 -1 1
281 250 -1 1
280 250 -1 1
279 250 -1 1
278 250 -1 1
277 250 -1 1
276 250 -1 1
275 250 -1 1
274 250 -1 1
273 250 -1 1
272 250 -1 1
432 249 -1 1
431 249 -1 1
430 249 -1 1
429 249 -1 1
428 249 -1 1
427 249 -1 1
426 249 -1 1
425 249 -1 1
424 249 -1 1
423 249 -1 1
422 249 -1 1
421 249 -1 1
420 249 -1 1
287 249 -1 1
286 249 -1 1
285 249 -1 1
284 249 -1 1
283 249 -1 1
282 249 -1 1
281 249 -1 1
280 249 -1 1
279 249 -1 1
278 249 -1 1
277 249 -1 1
276 249 -1 1
275 249 -1 1
274 249 -1 1
273 249 -1 1
272 249 -1 1
271 249 -1 1
430 248 -1 1
429 248 -1 1
428 248 -1 1
427 248 -1 1
426 248 -1 1
425 248 -1 1
424 248 -1 1
423 248 -1 1
422 248 -1 1
287 248 -1 1
286 248 -1 1
285 248 -1 1
284 248 -1 1
283 248 -1 1
282 248 -1 1
281 248 -1 1
280 248 -1 1
279 248 -1 1
278 248 -1 1
277 248 -1 1
276 248 -1 1
275 248 -1 1
274 248 -1 1
273 248 -1 1
272 248 -1 1
271 248 -1 1
426 247 -1 1
288 247 -1 1
287 247 -1 1
286 247 -1 1
285 247 -1 1
284 247 -1 1
283 247 -1 1
282 247 -1 1
281 247 -1 1
280 247 -1 1
279 247 -1 1
278 247 -1 1
277 247 -1 1
276 247 -1 1
275 247 -1 1
274 247 -1 1
273 247 -1 1
272 247 -1 1
271 247 -1 1
270 247 -1 1
288 246 -1 1
287 246 -1 1
286 246 -1 1
285 246 -1 1
284 246 -1 1
283 246 -1 1
282 246 -1 1
281 246 -1 1
280 246 -1 1
279 246 -1 1
278 246 -1 1
277 246 -1 1
276 246 -1 1
275 246 -1 1
274 246 -1 1
273 246 -1 1
272 246 -1 1
271 246 -1 1
270 246 -1 1
288 245 -1 1
287 245 -1 1
286 245 -1 1
285 245 -1 1
284 245 -1 1
283 245 -1 1
282 245 -1 1
281 245 -1 1
280 245 -1 1
279 245 -1 1
278 245 -1 1
277 245 -1 1
276 245 -1 1
275 245 -1 1
274 245 -1 1
273 245 -1 1
272 245 -1 1
271 245 -1 1
270 245 -1 1
288 244 -1 1
287 244 -1 1
286 244 -1 1
285 244 -1 1
284 244 -1 1
283 244 -1 1
282 244 -1 1
281 244 -1 1
280 244 -1 1
279 244 -1 1
278 244 -1 1
277 244 -1 1
276 244 -1 1
275 244 -1 1
274 244 -1 1
273 244 -1 1
272 244 -1 1
271 244 -1 1
270 244 -1 1
289 243 -1 1
288 243 -1 1
287 243 -1 1
286 243 -1 1
285 243 -1 1
284 243 -1 1
283 243 -1 1
282 243 -1 1
281 243 -1 1
280 243 -1 1
279 243 -1 1
278 243 -1 1
277 243 -1 1
276 243 -1 1
275 243 -1 1
274 243 -1 1
273 243 -1 1
272 243 -1 1
271 243 -1 1
270 243 -1 1
269 243 -1 1
288 242 -1 1
287 242 -1 1
286 242 -1 1
285 242 -1 1
284 242 -1 1
283 242 -1 1
282 242 -1 1
281 242 -1 1
280 242 -1 1
279 242 -1 1
278 242 -1 1
277 242 -1 1
276 242 -1 1
275 242 -1 1
274 242 -1 1
273 242 -1 1
272 242 -1 1
271 242 -1 1
270 242 -1 1
288 241 -1 1
287 241 -1 1
286 241 -1 1
285 241 -1 1
284 241 -1 1
283 241 -1 1
282 241 -1 1
281 241 -1 1
280 241 -1 1
279 241 -1 1
278 241 -1 1
277 241 -1 1
276 241 -1 1
275 241 -1 1
274 241 -1 1
273 241 -1 1
272 241 -1 1
271 241 -1 1
270 241 -1 1
288 240 -1 1
287 240 -1 1
286 240 -1 1
285 240 -1 1
284 240 -1 1
283 240 -1 1
282 240 -1 1
281 240 -1 1
280 240 -1 1
279 240 -1 1
278 240 -1 1
277 240 -1 1
276 240 -1 1
275 240 -1 1
274 240 -1 1
273 240 -1 1
272 240 -1 1
271 240 -1 1
270 240 -1 1
288 239 -1 1
287 239 -1 1
286 239 -1 1
285 239 -1 1
284 239 -1 1
283 239 -1 1
282 239 -1 1
281 239 -1 1
280 239 -1 1
279 239 -1 1
278 239 -1 1
277 239 -1 1
276 239 -1 1
275 239 -1 1
274 239 -1 1
273 239 -1 1
272 239 -1 1
271 239 -1 1
270 239 -1 1
287 238 -1 1
286 238 -1 1
285 238 -1 1
284 238 -1 1
283 238 -1 1
282 238 -1 1
281 238 -1 1
280 238 -1 1
279 238 -1 1
278 238 -1 1
277 238 -1 1
276 238 -1 1
275 238 -1 1
274 238 -1 1
273 238 -1 1
272 238 -1 1
271 238 -1 1
287 237 -1 1
286 237 -1 1
285 237 -1 1
284 237 -1 1
283 237 -1 1
282 237 -1 1
281 237 -1 1
280 237 -1 1
279 237 -1 1
278 237 -1 1
277 237 -1 1
276 237 -1 1
275 237 -1 1
274 237 -1 1
273 237 -1 1
272 237 -1 1
271 237 -1 1
286 236 -1 1
285 236 -1 1
284 236 -1 1
283 236 -1 1
282 236 -1 1
281 236 -1 1
280 236 -1 1
279 236 -1 1
278 236 -1 1
277 236 -1 1
276 236 -1 1
275 236 -1 1
274 236 -1 1
273 236 -1 1
272 236 -1 1
285 235 -1 1
284 235 -1 1
283 235 -1 1
282 235 -1 1
281 235 -1 1
280 235 -1 1
279 235 -1 1
278 235 -1 1
277 235 -1 1
276 235 -1 1
275 235 -1 1
274 235 -1 1
273 235 -1 1
283 234 -1 1
282 234 -1 1
281 234 -1 1
280 234 -1 1
279 234 -1 1
278 234 -1 1
277 234 -1 1
276 234 -1 1
275 234 -1 1
279 233 -1 1
